Svjetlina,Vlaga,Temperatura,CO2,Prisutnost
39.00,24.00,17.00,284,0
38.00,24.00,17.00,284,0
37.00,24.00,17.00,284,0
36.00,24.00,17.00,284,0
36.00,24.00,17.00,286,0
35.00,24.00,17.00,285,0
35.00,24.00,17.00,287,0
35.00,24.00,17.00,285,0
35.00,24.00,17.00,290,0
34.00,24.00,17.00,282,0
36.00,24.00,17.00,297,0
36.00,24.00,17.00,292,0
37.00,25.00,16.00,289,0
36.00,25.00,16.00,289,0
37.00,25.00,16.00,288,0
35.00,25.00,16.00,282,0
34.00,25.00,16.00,290,0
36.00,25.00,16.00,299,0
35.00,25.00,16.00,293,0
35.00,25.00,16.00,293,0
37.00,25.00,16.00,308,0
37.00,25.00,16.00,293,0
37.00,25.00,16.00,291,0
37.00,25.00,16.00,289,0
37.00,25.00,16.00,289,0
38.00,25.00,16.00,288,0
37.00,25.00,16.00,287,0
37.00,25.00,16.00,286,0
37.00,25.00,16.00,286,0
37.00,25.00,16.00,285,0
36.00,25.00,16.00,283,0
36.00,25.00,16.00,283,0
35.00,25.00,16.00,287,0
37.00,25.00,16.00,292,0
37.00,25.00,16.00,291,0
38.00,25.00,16.00,293,0
38.00,25.00,16.00,287,0
38.00,25.00,16.00,284,0
38.00,25.00,16.00,283,0
39.00,25.00,16.00,282,0
38.00,25.00,16.00,282,0
38.00,25.00,16.00,282,0
39.00,25.00,16.00,299,0
36.00,25.00,16.00,280,0
39.00,25.00,16.00,294,0
38.00,25.00,16.00,285,0
39.00,25.00,16.00,286,0
39.00,25.00,16.00,285,0
38.00,25.00,16.00,288,0
37.00,25.00,16.00,280,0
38.00,25.00,16.00,280,0
37.00,25.00,16.00,279,0
39.00,25.00,16.00,286,0
39.00,25.00,16.00,287,0
40.00,25.00,16.00,289,0
42.00,25.00,16.00,292,0
45.00,25.00,16.00,292,0
53.00,25.00,16.00,298,0
77.00,25.00,16.00,324,0
59.00,28.00,19.00,308,0
60.00,25.00,16.00,308,0
61.00,25.00,16.00,308,0
61.00,25.00,16.00,309,0
61.00,28.00,19.00,309,0
63.00,28.00,19.00,310,0
64.00,28.00,19.00,310,0
64.00,25.00,16.00,312,0
64.00,29.00,19.00,314,0
64.00,29.00,19.00,316,0
67.00,29.00,19.00,319,0
68.00,29.00,19.00,321,0
71.00,29.00,19.00,323,0
72.00,29.00,19.00,325,0
73.00,29.00,19.00,327,0
75.00,29.00,19.00,330,0
80.00,29.00,19.00,333,0
78.00,29.00,19.00,335,0
86.00,29.00,19.00,344,0
57.00,29.00,19.00,314,0
62.00,25.00,16.00,313,0
61.00,25.00,16.00,312,0
60.00,25.00,16.00,312,0
61.00,25.00,16.00,312,0
61.00,25.00,16.00,312,0
60.00,25.00,16.00,312,0
59.00,25.00,16.00,312,0
63.00,25.00,16.00,313,0
64.00,25.00,16.00,314,0
65.00,25.00,16.00,315,0
67.00,25.00,16.00,316,0
66.00,25.00,16.00,316,0
65.00,32.00,19.00,317,0
66.00,25.00,16.00,318,0
67.00,32.00,19.00,320,0
76.00,32.00,19.00,335,0
76.00,30.00,19.00,333,0
79.00,31.00,19.00,334,0
76.00,30.00,19.00,334,0
75.00,30.00,19.00,334,0
73.00,31.00,19.00,334,0
74.00,31.00,19.00,336,0
73.00,31.00,19.00,337,0
74.00,31.00,19.00,338,0
77.00,31.00,19.00,342,0
80.00,30.00,19.00,347,0
82.00,30.00,19.00,349,0
103.00,30.00,19.00,355,0
90.00,29.00,19.00,354,0
70.00,30.00,19.00,343,0
37.00,31.00,19.00,302,0
38.00,25.00,16.00,298,0
38.00,25.00,16.00,297,0
191.00,25.00,16.00,339,1
145.00,29.00,19.00,363,1
155.00,32.00,19.00,382,1
142.00,33.00,19.00,364,1
140.00,33.00,19.00,364,1
126.00,33.00,19.00,352,1
79.00,33.00,19.00,372,1
92.00,33.00,19.00,396,1
90.00,32.00,19.00,392,1
91.00,32.00,19.00,385,1
93.00,32.00,19.00,382,1
94.00,32.00,19.00,382,1
94.00,32.00,19.00,379,1
95.00,32.00,19.00,408,1
89.00,32.00,19.00,431,1
95.00,33.00,19.00,434,1
90.00,33.00,19.00,429,1
92.00,33.00,19.00,419,1
86.00,33.00,19.00,405,1
84.00,33.00,19.00,396,1
92.00,33.00,19.00,390,1
109.00,33.00,18.00,400,1
45.00,30.00,19.00,337,1
45.00,25.00,16.00,331,1
45.00,25.00,16.00,324,1
45.00,25.00,16.00,321,1
45.00,25.00,16.00,318,1
45.00,25.00,16.00,316,1
45.00,25.00,16.00,311,1
45.00,25.00,16.00,310,1
46.00,25.00,16.00,309,1
45.00,25.00,16.00,308,1
45.00,25.00,16.00,305,1
45.00,25.00,16.00,304,1
45.00,25.00,16.00,302,1
45.00,25.00,16.00,302,1
46.00,25.00,16.00,301,1
45.00,25.00,16.00,301,1
46.00,25.00,16.00,300,1
46.00,25.00,16.00,299,1
46.00,25.00,16.00,300,1
47.00,25.00,16.00,300,1
48.00,25.00,16.00,300,1
50.00,25.00,16.00,304,1
50.00,25.00,16.00,303,1
49.00,25.00,16.00,314,0
51.00,25.00,16.00,350,0
54.00,25.00,16.00,340,0
54.00,25.00,16.00,332,0
58.00,25.00,16.00,327,0
60.00,25.00,16.00,320,0
