Min	Avg	Max
-1	-2,86	-8
-1	-3,02	-8
-1	-2,94	-8
-1	-3,02	-8
-1	-3	-7
-1	-2,96	-8
-1	-3,44	-8
-1	-3,54	-10
-1	-3,52	-9
-1	-3,74	-12
-1	-3,26	-9
-1	-3,26	-12
-1	-3,5	-12
-1	-3,74	-11
-1	-4	-9
-1	-3,84	-13
-1	-3,58	-11
-1	-3,18	-9
-1	-3,3	-8
-1	-3,08	-9
-1	-2,72	-8
-1	-2,54	-7
-1	-3,08	-9
-1	-3,4	-9
-1	-3,82	-8
-1	-3,92	-10
-1	-3,44	-10
-1	-3,7	-9
-1	-3,36	-10
-1	-2,96	-7
-1	-2,6	-6
-1	-3	-8
-1	-3	-7
-1	-2,82	-7
-1	-2,7	-8
-1	-3,34	-12
-1	-3,72	-12
-1	-3,56	-10
-1	-3,62	-10
-1	-3,32	-8
-1	-3,14	-8
-1	-3,58	-12
-1	-3,38	-11
-1	-3,3	-9
-1	-3,38	-7
-1	-2,9	-8
-1	-2,72	-11
-1	-3,42	-8
-1	-3,04	-7
-1	-3,02	-10
-1	-2,82	-7
-1	-2,54	-7
-1	-2,84	-6
-1	-2,74	-10
-1	-2,92	-7
-1	-2,94	-7
-1	-2,94	-6
-1	-3,22	-7
-1	-3,32	-9
-1	-2,82	-10
-1	-3,1	-10
-1	-3,68	-11
-1	-3,44	-13
-1	-3,7	-11
-1	-3,94	-10
-1	-3,88	-11
-1	-4,02	-9
-1	-4,08	-11
-1	-3,38	-10
-1	-3,34	-10
-1	-3,62	-10
-1	-3,68	-11
-1	-3,84	-10
-1	-3,9	-11
-1	-4,08	-12
-1	-3,9	-9
-1	-4,04	-12
-1	-3,78	-8
-1	-3,74	-9
-1	-3,62	-9
-1	-3,2	-7
-1	-3,2	-10
-1	-3,3	-10
-1	-3,56	-10
-1	-3,14	-9
-1	-3,08	-10
-1	-3,58	-11
-1	-3,66	-14
-1	-3,26	-8
-1	-3,36	-10
-1	-3,28	-10
-1	-2,64	-11
-1	-2,88	-8
-1	-3,16	-8
-1	-3,3	-11
-1	-3,36	-10
-1	-3,32	-8
-1	-2,78	-8
-1	-2,84	-7
-1	-2,7	-7
-1	-3,3	-11
-1	-3,72	-8
-1	-3,58	-10
-1	-3,7	-12
-1	-3,96	-11
-1	-3,58	-9
-1	-3,26	-7
-1	-2,72	-8
-1	-3,26	-9
-1	-3,2	-8
-1	-2,92	-8
-1	-2,88	-12
-1	-3,22	-8
-1	-3,06	-9
-1	-3,28	-9
-1	-2,96	-10
-1	-2,74	-8
-1	-2,62	-7
-1	-2,88	-9
-1	-2,96	-8
-1	-3,28	-7
-1	-3,02	-9
-1	-2,9	-7
-1	-3,04	-6
-1	-2,82	-7
-1	-3,08	-7
-1	-2,86	-9
-1	-3,48	-13
-1	-3,32	-8
-1	-3,32	-10
-1	-3,42	-9
-1	-3,08	-9
-1	-3,26	-8
-1	-3,22	-9
-1	-2,58	-7
-1	-2,7	-8
-1	-2,82	-11
-1	-3,24	-9
-1	-2,78	-9
-1	-2,72	-7
-1	-3,26	-10
-1	-2,84	-8
-1	-2,8	-7
-1	-2,88	-8
-1	-3,06	-9
-1	-3,1	-10
-1	-3,18	-8
-1	-3,22	-8
-1	-2,92	-11
-1	-2,76	-9
-1	-3,28	-9
-1	-3,2	-9
-1	-3,4	-8
-1	-3,5	-8
-1	-2,98	-8
-1	-3,06	-10
-1	-2,96	-11
-1	-3,28	-9
-1	-3,1	-8
-1	-2,82	-7
-1	-2,86	-9
-1	-2,82	-9
-1	-2,58	-7
-1	-2,64	-8
-1	-2,32	-7
-1	-2,48	-6
-1	-2,82	-8
-1	-3,04	-7
-1	-3	-8
-1	-2,98	-9
-1	-3,06	-9
-1	-2,68	-10
-1	-2,66	-6
-1	-2,94	-8
-1	-2,62	-8
-1	-2,62	-7
-1	-3	-9
-1	-3,06	-9
-1	-2,94	-9
-1	-2,48	-7
-1	-2,52	-8
-1	-2,78	-6
-1	-2,84	-8
-1	-2,52	-7
-1	-2,98	-8
-1	-2,92	-7
-1	-2,78	-11
-1	-2,98	-9
-1	-3,6	-9
-1	-3,02	-9
-1	-3,1	-10
-1	-3,24	-8
-1	-3,22	-10
-1	-2,68	-9
-1	-2,88	-8
-1	-3,14	-11
-1	-3,74	-11
-1	-3,9	-9
-1	-3,94	-12
-1	-3,4	-8
-1	-3,3	-8
-1	-3,22	-8
-1	-3,02	-8
-1	-2,9	-9
-1	-2,7	-6
-1	-2,64	-7
-1	-3,08	-10
-1	-3,38	-8
-1	-3,14	-7
-1	-3,38	-10
-1	-3,14	-9
-1	-3,44	-11
-1	-3,72	-11
-1	-3,54	-12
-1	-3,68	-9
-1	-3,32	-8
-1	-3,22	-9
-1	-3,66	-9
-1	-3,16	-8
-1	-3,26	-9
-1	-3,3	-9
-1	-2,7	-7
-1	-2,88	-9
-1	-3,7	-9
-1	-3,44	-12
-1	-3,56	-12
-1	-3,38	-10
-1	-3,46	-8
-1	-3,54	-9
-1	-3,34	-11
-1	-2,98	-9
-1	-3,52	-8
-1	-3,04	-12
-1	-2,84	-8
-1	-3,16	-12
-1	-2,66	-10
-1	-2,46	-10
-1	-2,7	-9
-1	-3,34	-9
-1	-3,42	-8
-1	-3,48	-10
-1	-3,68	-12
-1	-3,38	-9
-1	-2,68	-6
-1	-3	-7
-1	-3,22	-9
-1	-2,94	-8
-1	-2,94	-9
-1	-2,6	-7
-1	-2,92	-9
-1	-3,24	-10
-1	-3,4	-8
-1	-3,44	-11
-1	-3,22	-10
-1	-3,26	-9
-1	-3,12	-7
-1	-3,44	-9
-1	-3,38	-9
-1	-2,98	-9
-1	-3,18	-9
-1	-2,58	-8
-1	-2,48	-8
-1	-2,66	-11
-1	-3,04	-8
-1	-2,84	-10
-1	-2,94	-7
-1	-2,58	-8
-1	-2,98	-12
-1	-3,08	-8
-1	-3,26	-10
-1	-3,52	-10
-1	-3,34	-13
-1	-2,98	-9
-1	-2,92	-7
-1	-2,92	-9
-1	-2,74	-8
-1	-2,92	-11
-1	-3,28	-7
-1	-3,28	-11
-1	-3,28	-14
-1	-3,78	-10
-1	-3,92	-10
-1	-3,28	-11
-1	-3,2	-11
-1	-3,02	-8
-1	-3,4	-7
-1	-3,26	-11
-1	-3,4	-8
-1	-3,22	-8
