Min	Avg	Max
-1	-7,72	-14
-1	-7,42	-17
-1	-7,34	-13
-1	-6,62	-13
-1	-7,38	-16
-1	-7,52	-15
-1	-7,2	-17
-1	-7,6	-14
-1	-7,98	-16
-1	-7,72	-15
-1	-8,16	-16
-1	-8,54	-13
-1	-7,28	-15
-1	-6,36	-11
-1	-6,22	-15
-1	-6,74	-14
-1	-6,38	-13
-1	-6,58	-16
-1	-8,32	-15
-1	-7,62	-16
-1	-8,16	-17
-1	-7,7	-17
-1	-7,86	-18
-1	-6,82	-21
-1	-6,9	-14
-1	-7,36	-18
-1	-7,48	-16
-1	-7,08	-15
-1	-6,74	-16
-1	-6,6	-16
-1	-6,18	-15
-1	-6,62	-13
-1	-7,24	-14
-1	-7,54	-20
-1	-8,42	-15
-1	-7,96	-16
-1	-7,08	-15
-1	-7,24	-13
-1	-7,16	-15
-1	-7,24	-16
-1	-7,48	-15
-1	-7,04	-15
-1	-6,68	-15
-1	-7,34	-14
-1	-7,62	-16
-1	-7,46	-15
-1	-7,72	-17
-1	-8,02	-17
-1	-7,38	-16
-1	-7,8	-17
-1	-7,74	-15
-1	-7,22	-15
-1	-7,62	-15
-1	-7,9	-17
-1	-7,82	-18
-1	-7,92	-14
-1	-7,52	-14
-1	-7,62	-21
-1	-8,16	-16
-1	-8,48	-15
-1	-7,54	-13
-1	-7,26	-18
-1	-7,2	-16
-1	-7,88	-17
-1	-7,58	-17
-1	-7,36	-14
-1	-6,56	-18
-1	-6,48	-12
-1	-6,6	-15
-1	-7,08	-17
-1	-6,78	-13
-1	-6,26	-15
-1	-6,84	-13
-1	-6,38	-17
-1	-7,14	-14
-1	-7,34	-14
-1	-6,8	-13
-1	-6,3	-13
-1	-7,22	-19
-1	-7,8	-16
-1	-7,44	-18
-1	-6,88	-12
-1	-7,06	-14
-1	-7,26	-16
-1	-8,12	-14
-1	-7,98	-18
-1	-7,82	-17
-1	-8,2	-16
-1	-7,3	-13
-1	-7,1	-14
-1	-7,2	-16
-1	-7,92	-15
-1	-7,74	-15
-1	-8,08	-14
-1	-7,42	-14
-1	-6,68	-15
-1	-7,12	-18
-1	-6,86	-16
-1	-6,92	-14
-1	-7,16	-23
-1	-7,86	-15
-1	-7,58	-13
-1	-7,22	-16
-1	-8,04	-18
-1	-7,88	-16
-1	-7,72	-14
-1	-7,14	-16
-1	-7,42	-16
-1	-7,48	-14
-1	-8,06	-21
-1	-8,72	-17
-1	-8,56	-20
-1	-7,86	-16
-1	-7,86	-18
-1	-7,44	-14
-1	-7,5	-18
